Keyword Searched,App Name,App ID,Seller,Price,Average Rating,Rating Count,Genre,App URL
asthma,Asthma Tracker゜,6444343217,Adam Cziko,Free,4.64179,67,Lifestyle,https://apps.apple.com/us/app/asthma-tracker/id6444343217?uo=4
asthma,My Pollen Forecast - Allergies,1244428929,JRustonApps B.V.,Free,4.69126,25403,Health & Fitness,https://apps.apple.com/us/app/my-pollen-forecast-allergies/id1244428929?uo=4
asthma,Asthma: Tracker & Reminders,6744072783,"No Worries! Lifestyle, LLC",Free,0,0,Medical,https://apps.apple.com/us/app/asthma-tracker-reminders/id6744072783?uo=4
asthma,AsthmaGo,1576739743,CMI Health Inc.,Free,4.66667,12,Health & Fitness,https://apps.apple.com/us/app/asthmago/id1576739743?uo=4
asthma,Pediatric Asthma Risk Score,1398307845,Cincinnati Children's Hospital Medical Center,Free,5,5,Medical,https://apps.apple.com/us/app/pediatric-asthma-risk-score/id1398307845?uo=4
asthma,Allergy Plus by Pollen.com,1556701665,IQVIA Inc.,Free,4.77313,20201,Health & Fitness,https://apps.apple.com/us/app/allergy-plus-by-pollen-com/id1556701665?uo=4
asthma,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4
asthma,AsthmaTime,1658824279,SCIENTIFIC COMPUTING AND IMAGING INSTITUTE (SCI INSTITUTE),Free,5,1,Health & Fitness,https://apps.apple.com/us/app/asthmatime/id1658824279?uo=4
asthma,ASTHMA,1179637672,daren taylor,Free,4.5,4,Health & Fitness,https://apps.apple.com/us/app/asthma/id1179637672?uo=4
asthma,PeakFlow Diary (Asthma),6463603745,Keyber Inc.,Free,4.7037,27,Medical,https://apps.apple.com/us/app/peakflow-diary-asthma/id6463603745?uo=4
asthma tracker,Asthma Tracker゜,6444343217,Adam Cziko,Free,4.64179,67,Lifestyle,https://apps.apple.com/us/app/asthma-tracker/id6444343217?uo=4
asthma tracker,My Pollen Forecast - Allergies,1244428929,JRustonApps B.V.,Free,4.69126,25403,Health & Fitness,https://apps.apple.com/us/app/my-pollen-forecast-allergies/id1244428929?uo=4
asthma tracker,Inhaler tracker: Inhalator,6477226649,Dinsen.biz,Free,5,2,Medical,https://apps.apple.com/us/app/inhaler-tracker-inhalator/id6477226649?uo=4
asthma tracker,Asthma Tracker - Astira,6743555558,Digital Therapeutics,Free,5,1,Health & Fitness,https://apps.apple.com/us/app/asthma-tracker-astira/id6743555558?uo=4
asthma tracker,Bearable - Symptom Tracker,1482581097,Bearable Ltd,Free,4.7603,4439,Health & Fitness,https://apps.apple.com/us/app/bearable-symptom-tracker/id1482581097?uo=4
asthma tracker,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4
asthma tracker,BreatheSmart,1123030017,Voluntis,Free,4.27273,11,Medical,https://apps.apple.com/us/app/breathesmart/id1123030017?uo=4
asthma tracker,Asthma Tracker,930849539,Kantonsspital Baselland,Free,2.83333,24,Medical,https://apps.apple.com/us/app/asthma-tracker/id930849539?uo=4
asthma tracker,PeakFlow Diary (Asthma),6463603745,Keyber Inc.,Free,4.7037,27,Medical,https://apps.apple.com/us/app/peakflow-diary-asthma/id6463603745?uo=4
asthma tracker,juli chronic condition tracker,1534103773,juli Inc,Free,4.66615,659,Health & Fitness,https://apps.apple.com/us/app/juli-chronic-condition-tracker/id1534103773?uo=4
inhaler tracker,Inhaler tracker: Inhalator,6477226649,Dinsen.biz,Free,5,2,Medical,https://apps.apple.com/us/app/inhaler-tracker-inhalator/id6477226649?uo=4
inhaler tracker,Asthma Tracker゜,6444343217,Adam Cziko,Free,4.64179,67,Lifestyle,https://apps.apple.com/us/app/asthma-tracker/id6444343217?uo=4
inhaler tracker,Inhaler Tracker,1349305079,Daniel Beadle,Free,4.33333,6,Health & Fitness,https://apps.apple.com/us/app/inhaler-tracker/id1349305079?uo=4
inhaler tracker,Bearable - Symptom Tracker,1482581097,Bearable Ltd,Free,4.7603,4439,Health & Fitness,https://apps.apple.com/us/app/bearable-symptom-tracker/id1482581097?uo=4
inhaler tracker,Complete - Medication Tracker,1019069079,AbbVie,Free,4.65984,3425,Medical,https://apps.apple.com/us/app/complete-medication-tracker/id1019069079?uo=4
inhaler tracker,Inhaler Counter,1517255449,Jules Gribble,Free,4,2,Health & Fitness,https://apps.apple.com/us/app/inhaler-counter/id1517255449?uo=4
inhaler tracker,Tally: The Anything Tracker,1090990601,"Kodeon, Inc.",Free,4.34367,3934,Productivity,https://apps.apple.com/us/app/tally-the-anything-tracker/id1090990601?uo=4
inhaler tracker,Asthma Tracker - Astira,6743555558,Digital Therapeutics,Free,5,1,Health & Fitness,https://apps.apple.com/us/app/asthma-tracker-astira/id6743555558?uo=4
inhaler tracker,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4
inhaler tracker,AsthmaTuner,1353823931,Medituner AB,Free,0,0,Medical,https://apps.apple.com/us/app/asthmatuner/id1353823931?uo=4
peak flow,PeakFlow Diary (Asthma),6463603745,Keyber Inc.,Free,4.7037,27,Medical,https://apps.apple.com/us/app/peakflow-diary-asthma/id6463603745?uo=4
peak flow,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4
peak flow,Asthma Tracker゜,6444343217,Adam Cziko,Free,4.64179,67,Lifestyle,https://apps.apple.com/us/app/asthma-tracker/id6444343217?uo=4
peak flow,Nordic Flow: Breathwork,6450190671,Nordic Flow,Free,4.75,36,Health & Fitness,https://apps.apple.com/us/app/nordic-flow-breathwork/id6450190671?uo=4
peak flow,My Pollen Forecast - Allergies,1244428929,JRustonApps B.V.,Free,4.69126,25403,Health & Fitness,https://apps.apple.com/us/app/my-pollen-forecast-allergies/id1244428929?uo=4
peak flow,Easy Peak Flow Diary,1562094758,Simon lebech Cichosz,Free,3.64706,17,Medical,https://apps.apple.com/us/app/easy-peak-flow-diary/id1562094758?uo=4
peak flow,Inhaler Tracker,1349305079,Daniel Beadle,Free,4.33333,6,Health & Fitness,https://apps.apple.com/us/app/inhaler-tracker/id1349305079?uo=4
peak flow,Safey Peak Flow,6736570726,Safey Medical Devices Ltd,Free,0,0,Medical,https://apps.apple.com/us/app/safey-peak-flow/id6736570726?uo=4
peak flow,Smart Asthma: Forecast Asthma,1409692428,Smart Respiratory Products Ltd,Free,4.22222,9,Medical,https://apps.apple.com/us/app/smart-asthma-forecast-asthma/id1409692428?uo=4
peak flow,Your Peak Flow,1544967818,Suited Technologies GmbH,$2.99,2,1,Medical,https://apps.apple.com/us/app/your-peak-flow/id1544967818?uo=4
asthma management,Asthma Manager,930678066,@Point of Care,Free,3.25,4,Medical,https://apps.apple.com/us/app/asthma-manager/id930678066?uo=4
asthma management,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4
asthma management,AsthmaTime,1658824279,SCIENTIFIC COMPUTING AND IMAGING INSTITUTE (SCI INSTITUTE),Free,5,1,Health & Fitness,https://apps.apple.com/us/app/asthmatime/id1658824279?uo=4
asthma management,Asthma COPD 2019,1441875850,Design Master Co.,Free,5,1,Medical,https://apps.apple.com/us/app/asthma-copd-2019/id1441875850?uo=4
asthma management,Airofit,1469023267,Airofit A/S,Free,4.46662,1333,Health & Fitness,https://apps.apple.com/us/app/airofit/id1469023267?uo=4
asthma management,Breathe for Asthma and COPD,1299722723,University Health Network,Free,5,1,Medical,https://apps.apple.com/us/app/breathe-for-asthma-and-copd/id1299722723?uo=4
asthma management,Smart Asthma: Forecast Asthma,1409692428,Smart Respiratory Products Ltd,Free,4.22222,9,Medical,https://apps.apple.com/us/app/smart-asthma-forecast-asthma/id1409692428?uo=4
asthma management,AsthmaTuner,1353823931,Medituner AB,Free,0,0,Medical,https://apps.apple.com/us/app/asthmatuner/id1353823931?uo=4
asthma management,AsthmaGo,1576739743,CMI Health Inc.,Free,4.66667,12,Health & Fitness,https://apps.apple.com/us/app/asthmago/id1576739743?uo=4
