Keyword Searched,App Name,App ID,Seller,Price,Average Rating,Rating Count,Genre,App URL,Description
asthma,Asthma: Tracker & Reminders,6744072783,"No Worries! Lifestyle, LLC",Free,0,0,Medical,https://apps.apple.com/us/app/asthma-tracker-reminders/id6744072783?uo=4,"Asthma Care Companion is a comprehensive asthma management app that empowers adults to monitor and control their asthma with confidence. Asthma Care Companion integrates six major functions into one convenient platform – helping you achieve better symptom control, proactively avoid triggers, stay on top of medications, and be prepared for emergencies.

Key Features
- Symptom Journaling: Log daily symptoms (cough, wheeze, shortness of breath, etc.) and peak flow readings in a structured journal​. Track your asthma day-to-day and identify patterns or triggers over time, so you and your doctor can gauge how well your asthma is controlled.

- Dynamic Medication Reminders: Never miss a dose with intelligent reminders customized to your treatment plan. Set up alerts for maintenance inhalers, pills, or other meds – including quick-relief inhaler use – to improve adherence (reminder systems are shown to increase medication compliance)​. Stay consistent with preventive therapy and reduce the chance of flare-ups.

- Interactive Health Reports: Visualize your progress with interactive charts and reports. Asthma Care Companion transforms your journal entries into easy-to-read graphs of symptoms, medication use, and peak flow trends​. Use these insights to understand your lung health, share reports with your healthcare provider, and make informed decisions at check-ups.

Note: Asthma Care Companion is intended to support, not replace, your healthcare provider’s guidance. Always follow your doctor’s advice and use this app as part of your overall asthma management plan. The information provided in this app is for general informational purposes only and is not a substitute for professional medical advice. Always seek the advice of your physician or other qualified health provider with any questions you may have regarding a medical condition. Never disregard professional medical advice or delay in seeking it because of something you have read on this app. The use of any information provided on this app is solely at your own risk.

For more information, please visit our Terms of Use (https://www.noworrieslifestyle.com/eula/) and Privacy Policy (https://www.noworrieslifestyle.com/privacy-policy/)."
asthma,FindAir – Asthma Diary,1515944881,Findair sp. z o.o.,Free,2.75,4,Health & Fitness,https://apps.apple.com/us/app/findair-asthma-diary/id1515944881?uo=4,"FindAir application is a smart asthma diary for your smartphone. No more manually filling in data every time you use your medicine. With FindAir, you can easily add all information with single clicks and monitor your progress to better understand your asthma.

The key to proper asthma therapy is relevant data. Without it, neither you nor your doctor is able to make the right decisions. The app helps you easily collect data about every use of your rescue and regular drugs, your treatment progress, as well as environmental information such as air pollution, weather conditions and allergens in your area. FindAir also allows you to monitor the number of doses you have left in the packaging and predict when it will end.

Moreover, the application connects to the FindAir ONE device - a smart add-on for inhalers. This device allows you to monitor your treatment progress more precisely, generate reports for yourself as well as your doctor and receive real-time notifications of hazards in the environment.

The FindAir application is one of the most popular asthma diaries in the world and has been appreciated by asthmatics and specialists from all over Europe


Basic functionalities of the FindAir application:

+ Asthma diary filled-in with single clicks (drug intake, peak flow, symptoms, notes)
+ View the status of all your rescue and regular drugs in one place
+ Information on possible triggers your asthma attacks
+ Warnings about hazards in the area
+ Reminders to take medication
+ Reports on treatment progress for you and your doctor
+ Integration with the FindAir ONE device for monitoring inhalers

Caution
Please be advised
Do not make any medical decisions or treatment plan adjustments without consulting your doctor."
asthma,"Airyn, the asthma app",1641811087,Voicemed Italia Srl,Free,0,0,Medical,https://apps.apple.com/us/app/airyn-the-asthma-app/id1641811087?uo=4,"Discover the revolutionary Airlyn app, a science-based and highly effective system of breathing exercises designed to transform your asthma symptoms management with its challenges. Those are clinically-proven by an NHS clinical study! With a focus on improving your symptoms and overall well-being, Airlyn empowers you to take control of your breath like never before.
- EXPERIENCE EXPERT-GUIDED BREATHING EXERCISES: Enjoy a range of guided breathing exercises, tailored to improve your breathing patterns and manage asthma symptoms. Incorporating these exercises into your daily routine leads to noticeable improvements in breathing and overall asthma symptoms.
- TRACK YOUR PROGRESS WITH YOUR BREATHING SCORE: Airlyn's innovative sound analysis technology evaluates your breathing patterns, providing your unique breathing score. Track your progress over time to ensure effective techniques and continuous enhancement.
- CLINICALLY-PROVEN BREATHING CHALLENGES: Join engaging challenges supported by NHS clinical studies. These challenges effectively reduce asthma symptoms and enhance well-being. Following the challenges, it will be easy for you to create a healthy routine and a better breathing habits. Visit www.airlyn.io for study details and unlock optimal breathing secrets.
- ADVANCED ANALYTICS to track your progress and celebrate milestones. Your statistics, your trends, your history, for a better you.
- PERSONALIZED SUPPORT, FROM REAL PEOPLE: Our dedicated team of breathing coaches offers personalized assistance, with live breathing coaching sessions. Reach out to airlyn@voicemed.io for guidance and support.
- THE IMPORTANCE OF EFFECTIVE BREATHING: Discover how effective breathing, especially for asthma patients, can be transformative. Like exercise benefits the heart and muscles, breathing exercises benefit our lungs. Airlyn offers accessible exercises and proven challenges like Asthma CLIMB to reduce asthma symptoms. With cutting-edge technology, Airlyn tracks your progress and improvement through breathing sound analysis.
- CONNECT WITH AIRLYN:
Stay connected with Airlyn and join our vibrant community:
Instagram: https://www.instagram.com/airlyn_app/
Facebook: https://www.facebook.com/VoiceMed
Unleash the potential of your breath with Airlyn – the ultimate asthma breathing companion. Download now and embark on a journey to breathe freely and live life to the fullest. Breathe better, live bigger.


This is not a diagnosis. If you are feeling unwell, we suggest you to seek medical advice before any medical decision."
asthma,Asthma Tracker゜,6444343217,Adam Cziko,Free,4.6087,69,Lifestyle,https://apps.apple.com/us/app/asthma-tracker/id6444343217?uo=4,"Track asthma and take charge of your health.
Track your inhaler usage, follow symptoms, take measurements, write notes and visualize it all by a single tap!

Want to share it with your doctor? No problem, just generate a printable report!
Want to personalize your tracking? Our tracker is fully customizable, modify it to your liking!

HOW ASTHMA TRACKER° WORKS

- Count your inhaler usage
- Track your symptoms
- Log your peak flow meter measurements
- Define your own symptoms, treatments and measurements
- Write notes
- Have an easy overview of how you are doing
- Recognize new trends
- Analyze your statistics over time
- Create PDF or CSV reports and share them with your doctor
- Collect new achievements
- Stay on track with daily reminders
- Lock your journal with Face ID or Touch ID

We value your privacy. Your journal entries are just yours, only accessible with your device.

Consult with your doctor if you are experiencing any symptoms of an illness.
This software is not a replacement of a medical treatment. It is intended for informational purposes only and comes with no warranty.
You can read the terms of use and privacy policy here:
http://adamcziko.com/asthma-tracker-privacy-policy-and-terms-of-use/

The app includes a premium subscription possibility.
The subscription is automatically renewed after each subscription period.
Want to get to know more about your current subscription, or you want to cancel it?
You can get all the information by visiting the following page:
https://support.apple.com/en-us/HT202039"
asthma,My Pollen Forecast - Allergies,1244428929,JRustonApps B.V.,Free,4.69137,25438,Health & Fitness,https://apps.apple.com/us/app/my-pollen-forecast-allergies/id1244428929?uo=4,"My Pollen Forecast is the best app for tracking the pollen count and your allergens. With a sleek modern design, you can view hayfever forecasts for the upcoming days and keep a diary of your symptoms. By using the app you will become more prepared for any allergy or asthma difficulties you could experience.

- Shows a map where you can see which areas have the highest pollen count!
- Several day pollen forecast including temperature, wind and humidity!
- Use the app as a tracker for how you feel to monitor your symptoms over time.
- Discover which pollens you are most allergic to by adding diary entries frequently.
- Receive push notifications when the pollen count is expected to be high!
- Full support for the latest iPhone and iPad models.

If you want the most efficient way of keeping up with pollen forecasts and counts, then My Pollen Forecast is the right app for you. This version is ad-supported and is similar to apps such as WebMD Allergy and Pollen.com.

* The app currently only supports the contiguous US and the UK. States such as Alaska and Hawaii are unfortunately not supported.*"
asthma,AsthmaTuner,1353823931,Medituner AB,Free,0,0,Medical,https://apps.apple.com/us/app/asthmatuner/id1353823931?uo=4,"Optimize Treatment
Asthma is a variable condition that is affected by different factors. The treatment needs to be adjusted more often than patients are able to meet with their healthcare provider. AsthmaTuner gives you the tools to treat your Asthma and tailors your medication to how you are currently feeling.

Quickly Receive an Evaluation
When you blow into the spirometer, your lung function is recorded in the app. AsthmaTuner measures a value called FEV1 and is the same used by your asthma specialist at evaluations. Answer four questions about your symptoms and receive an evaluation whenever and wherever you want.

Follow your Asthma over Time
Your values are saved as you go so that you can gain insights into how you’ve been feeling over time.

Pollen and Weather Tracking
We track pollen and weather, select the types that affect you and we'll keep an eye on them

Reminders
Set reminders so you never forget to take your medicine or test your lung function.

Follow friends and family
Does your loved one have asthma? Create an account for them and follow their asthma from your own phone.

Share Information
You can share your asthma stats and information with your healthcare provider, making it easy for them to adjust your treatment. AsthmaTuner facilitates consultations with healthcare providers over the phone or video call.

MediTuner AB
MediTuner is the maker of AsthmaTuner and our goal is to be world-leading in educating patients and everyday at-home care of asthma. AsthmaTuner is a patented self-care system that connects patients with asthma specialists for better healthcare."
asthma,AsthmaGo,1576739743,CMI Health Inc.,Free,4.66667,12,Health & Fitness,https://apps.apple.com/us/app/asthmago/id1576739743?uo=4,"THIS APP REQUIRES AT LEAST ONE OF THE FOLLOWING CMI HEALTH DEVICES:
- SpiroLink®
- Oxyknight® Watch
- Oxyknight® Watch Lite
- CMI Health Fingertip Oximeter PC-60FW

AsthmaGo™ App is CMI Health's latest solution to put YOU, the patient in the driver's seat for Asthma Management. Connect to multiple CMI devices to AsthmaGo™ and manage records and activities with your mobile phone.

FEATURES 

CONVENIENT TESTING AT HOME OR ON THE GO:  
Test lung functions with the SpiroLink® smart spirometer. Test spot-check or continuous pulse oximetry with Oxyknight® Watch or Fingertip oximeter.

STANDARD SPIROMETRY TEST:  
By performing 3 tests in a row, the AsthmaGo™ App will generate a standard spirometry test report with predicted values using your personal respiratory data.  
 
MANAGE RECORDS, REPORTS, AND TRENDS: Generate test reports and trend graphs in the palm of your hand. All of a user’s test records are automatically uploaded and saved in the cloud. This allows a user to better manage Asthma conditions over time by providing the means to better track and identify trends. 

SHARE REPORTS:  
With one click, you can share any of the reports generated with your physician or family members.
 
HEALTH ASSESSMENT AND LOGS: 
The officially licensed Asthma Control Test (ACT) is available in the App according to the user. Additionally, the in-app log makes it easy for users to track their medications, symptoms, and activities for future reference. 

All compatible devices are FDA-cleared for personal use in the United States.

Disclaimers:
The AsthmaGo™ App does not provide any diagnosis. In any case, consult your doctor before you need to make any medical decisions."
asthma,Daily Breathe: Asthma Tracker,6477149460,Spotter Limited Liability Company,Free,4.90475,21,Medical,https://apps.apple.com/us/app/daily-breathe-asthma-tracker/id6477149460?uo=4,"Daily Breathe: Created by asthmatics for asthmatics, offering a comprehensive and personalized approach to managing asthma. Our team, having personal experience with asthma, understands the challenges and intricacies of living with this condition. Therefore, we have tailored Daily Breathe to meet the unique needs of the asthma community.

Key Features:

* Peak Flow Tracking: Log your daily peak flow to maintain better control over your asthma.
* Green, Yellow, and Red Zones: Enter your personal best peak flow to know if you need to contact your therapist and adjust treatment. This feature helps you quickly assess your asthma control at a glance and make informed decisions about your health.
* Apple Health Integration: Seamlessly integrate with your iOS Health app to keep all your health data in one place, making it easier for you and your healthcare provider to monitor your asthma.
* Privacy First: Your health data is sensitive, and we prioritize your privacy. We do not process your health data on our servers; you keep full control over it.

You can add an unlimited number of measurements with a paid subscription:
Annual Premium - for 1 year, renewable 
Monthly Premium - for 1 month, renewable

Terms of Use: https://dailybreathe.tilda.ws/en/termsofuse
Privacy Policy: https://dailybreathe.tilda.ws/en/privacypolicy"
asthma,AsthmaTime,1658824279,SCIENTIFIC COMPUTING AND IMAGING INSTITUTE (SCI INSTITUTE),Free,5,1,Health & Fitness,https://apps.apple.com/us/app/asthmatime/id1658824279?uo=4,AsthmaTime is an app to assist in the self-management of asthma.
asthma,IQAir AirVisual | Air Quality,1048912974,IQAir AG,Free,4.81351,40666,Weather,https://apps.apple.com/us/app/iqair-airvisual-air-quality/id1048912974?uo=4,"The most trusted and reliable air quality information from the world’s leading air pollution data provider. Covering 500,000+ locations from a global network of government monitoring stations and IQAir's own validated sensors.

Recommended for sensitive people (allergies, asthma, etc), a must-have for families and great for athletes, runners, cyclists and outdoor sports activities. Plan the healthiest day with health recommendations, 48-hour forecasts, and check the real-time global air quality map. Learn what pollutants you are breathing, their sources and effects and stay informed about key air quality and wildfire breakouts in your area.

+ Historical, Real-time, and Forecast Air Pollution Data: Detailed figures on key pollutants and AQI for over 500,000+ locations in 100+ countries, made clearly understandable. Follow air pollution trends with enhanced month-long and 48h historical views for your favorite locations.

+ Leading 7-Day Air Pollution and Weather Forecast: For the first time, plan your outdoor activities for the healthiest experiences a whole week ahead. Wind direction and speed forecasts to understand the wind’s impact on pollution.

+ 2D & 3D World Pollution Maps: Explore real-time pollution indexes around the globe, both in a 2D panoramic view, and mesmerizing heatmapped AirVisual Earth 3D modelization.

+ Health Recommendations: Follow our advice to lower your health risk and achieve minimum exposure to pollutants. Relevant information for sensitive groups with asthma or other respiratory (pulmonary) diseases.

+ Weather Information: Your one-stop for temperature, humidity, wind, current conditions and forecast weather information.

+ Wildfire and air quality events: Stay informed on wildfires, smoke, and air quality events worldwide. See alerts and track events on an interactive map with real-time & historical data, forecasts, news updates, and more.

+ Pollen counts: View tree, weed & grass pollen counts for your favorite places and protect yourself from allergies. Plan your outdoor activities with 3-day forecasts.

+ Realtime and Historic Monitoring of 6 Key Pollutants: Track live concentrations of PM2.5, PM10, ozone, nitrogen dioxide, sulphur dioxide and carbon monoxide, and observe pollutants historical trends.

+ Real-time air pollution city ranking: Track the best and worst cities by air quality and pollution for 100+ locations worldwide, based on live PM2.5 concentrations.

+ “Sensitive Group” Air Quality Information: Relevant information and forecasts for sensitive groups, including respiratory (pulmonary) illnesses, such as asthma.

+ Extended Historical Data Graphs: View air pollution trends over the past 48 hours, or daily averages over the past month. 

+ Control your air purifier: Remotely control & monitor your Atem X & HealthPro series air purifiers for safer indoor air quality with live & historical data, comparisons, filter replacement alerts, scheduled on/off and more.

+ Indoor & Outdoor Air Quality Monitoring: Synchronization with IQAir AirVisual Pro and AirVisual Outdoor air monitors to provide readings, recommendations, and control monitor settings.

+ Air Pollution Community News: Stay up to date on air pollution current events, medical findings, and developments in combating global air pollution. 

+ Educational Resources: Build your understanding of PM2.5 and other air pollutants and learn how best to live in polluted environments with respiratory (pulmonary) illnesses such as asthma. 

+ Worldwide coverage with the most extensive network of air pollution sensors: monitor United States, China, India, Singapore, Japan, Korea, Canada, Australia, Mexico, Brazil, France, Hong Kong, Thailand, Indonesia, Chile, Turkey, Germany + more - as well as cities such as Los Angeles, Sacramento, New York, Chicago, Houston, Phoenix, Philadelphia, San FranciscoSeoul, Mumbai, New Delhi, Tokyo, Mexico City, Bangkok, London, , Paris, Berlin, Ho Chi Minh City, Chiang Mai + more - in one place!"
