index,title,genre,updated,llm_decision
1,Asthma: Tracker & Reminders,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly outlines symptom tracking, medication reminders, and health reports specifically for asthma management. App appears active.""
}
```"
2,FindAir – Asthma Diary,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, and the description clearly indicates asthma symptom tracking, medication management, and environmental hazard warnings. App appears active due to feature descriptions.""
}
```"
3,"Airyn, the asthma app",Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical. Description highlights clinically-proven breathing exercises for asthma symptom management, progress tracking, and personalized support. Mentions NHS clinical study and advanced analytics.""
}
```"
4,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Lifestyle, but the title and description clearly indicate asthma symptom tracking (inhaler usage, symptoms, measurements, reports). Mentions modern iPhone features (Face ID/Touch ID) suggesting it's active.""
}
```"
5,My Pollen Forecast - Allergies,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, description explicitly mentions pollen tracking, symptom diary, and forecasts. App appears active due to mention of modern iPhone support.""
}
```"
6,AsthmaTuner,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical. Description clearly indicates asthma symptom tracking, lung function measurement (FEV1), pollen/weather tracking, and sharing data with healthcare providers. App appears active.""
}
```"
7,AsthmaGo,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Health & Fitness category, actively tracks lung function, symptoms, medications, and generates reports. Compatible devices are FDA-cleared. App appears relevant for asthma management.""
}
```"
8,Daily Breathe: Asthma Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly indicates asthma tracking with features like peak flow monitoring, zone alerts, and health integration. No alternative medicine mentioned.""
}
```"
9,AsthmaTime,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and the description explicitly states it's for asthma self-management. No update date, but the description suggests active use.""
}
```"
10,IQAir AirVisual | Air Quality,Weather,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Weather, but the description explicitly mentions support for sensitive people (allergies, asthma), health recommendations, pollen counts, and educational resources related to respiratory illnesses. App appears active.""
}
```"
11,ASTHMA,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Relevant Health & Fitness app specifically designed for asthma management, including reminders, emergency assistance, and symptom guidance. No indication of alternative medicine.""
}
```"
12,Allergy Plus by Pollen.com,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description clearly states it provides real-time allergy information, forecasts, and notifications - directly relevant for asthma/rhinitis/hay fever support.""
}
```"
13,ZYRTEC® ALLERGYCAST®,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description explicitly mentions allergy tracking, pollen forecasts, symptom severity predictions, and personalized insights - all relevant for asthma/rhinitis/hay fever support.""
}
```"
14,Blood Oxygen App,Medical,,"```json
{
  ""include"": false,
  ""reason"": ""While in the Medical category and tracking vital signs, this app focuses on blood oxygen and heart rate, not specifically asthma, rhinitis, or hay fever. It's a general wellness tracker.""
}
```"
15,Asthma Tracker - Astira,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description clearly indicates asthma symptom tracking, medication reminders, peak flow monitoring, and trigger identification. App appears active with Apple Health integration and modern features.""
}
```"
16,PeakFlow Diary (Asthma),Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the description explicitly states it's for tracking peak flow values and managing breathing, indicating asthma support. No alternative medicine mentioned.""
}
```"
17,Pediatric Asthma Risk Score,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Medical app focused on predicting asthma risk in children using a research-backed scoring system (PARS). Aligns with symptom forecasting and is from a reputable medical center.""
}
```"
18,Smart Asthma: Forecast Asthma,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the app focuses on asthma symptom tracking, forecasting, and data sharing with healthcare providers. Mentions HealthKit integration, suggesting it's actively maintained.""
}
```"
19,ASTHMAXcel PRO,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description clearly indicates asthma education, symptom tracking, medication reminders, and aims to improve asthma control - all relevant for asthma support.""
}
```"
20,ASTHMAXcel,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, and the description clearly states it's for asthma patients, teaching them about asthma management and improving control. App appears active.""
}
```"
21,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Lifestyle, but the description clearly indicates asthma symptom tracking (inhaler usage, symptoms, measurements, reports). Mentions modern iPhone features (Face ID/Touch ID), suggesting it's active.""
}
```"
22,Asthma Tracker - Astira,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description clearly indicates asthma symptom tracking, medication reminders, peak flow monitoring, and trigger identification. App appears active with Apple Health integration and modern features.""
}
```"
23,My Pollen Forecast - Allergies,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, explicitly mentions pollen tracking, symptom diary, and forecasts. Supports iPhone/iPad, suggesting active development despite missing update date. Relevant for asthma/rhinitis/hay fever.""
}
```"
24,juli chronic condition tracker,Health & Fitness,,"```json
{
  ""include"": false,
  ""reason"": ""While the app tracks health data and mentions weather, it primarily focuses on COPD, depression, and bipolar disorder. It doesn't specifically address asthma, rhinitis, or hay fever.""
}
```"
25,Inhaler tracker: Inhalator,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the description explicitly states it's an asthma inhaler counter, tracking doses and reminding to order refills. No alternative medicine mentioned.""
}
```"
26,Daily Breathe: Asthma Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly indicates asthma tracking with features like peak flow monitoring, zone assessment, and health integration. No alternative medicine mentioned.""
}
```"
27,Bearable - Symptom Tracker,Health & Fitness,,"```json
{
  ""include"": false,
  ""reason"": ""While the app is a symptom tracker for various conditions, it doesn't specifically focus on asthma, rhinitis, or hay fever. It's a general health tracker.""
}
```"
28,Asthma Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the description clearly indicates asthma symptom tracking, including peak flow, medication, and symptoms. Mentions Health app integration and modern features, suggesting it's active.""
}
```"
29,Asthma & Medication Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly indicates asthma tracking with features like peak flow monitoring, inhaler usage tracking, and medication reminders. No alternative medicine mentioned.""
}
```"
30,BreatheSmart,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description explicitly mentions asthma and COPD symptom tracking, trigger monitoring, and medication management. App appears active due to feature descriptions.""
}
```"
31,AsthmaGo,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Health & Fitness category, explicitly mentions asthma management, lung function testing, record management, and sharing reports with physicians. Compatible devices are FDA-cleared.""
}
```"
32,PeakFlow Diary (Asthma),Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description explicitly states it's for tracking peak flow values and managing breathing, indicating relevance for asthma symptom monitoring.""
}
```"
33,ZYRTEC® ALLERGYCAST®,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness. Description explicitly mentions allergy tracking, pollen forecasts, symptom severity predictions, and personalized insights - all relevant for asthma/rhinitis/hay fever support.""
}
```"
34,Smart Asthma: Forecast Asthma,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the app focuses on asthma symptom tracking, forecasting, and data sharing with healthcare providers. Mentions HealthKit integration, suggesting it's actively maintained.""
}
```"
35,"Tracker, Reminder - CareClinic",Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""The app includes symptom tracking, medication reminders, and a comprehensive health diary, covering conditions like allergies and GI symptoms, relevant to asthma/rhinitis/hay fever management. It also integrates with health platforms.""
}
```"
36,Blood Oxygen App,Medical,,"```json
{
  ""include"": false,
  ""reason"": ""While in the Medical category and tracking vital signs, this app focuses on blood oxygen and heart rate, not specifically asthma, rhinitis, or hay fever. It's a general wellness tracker.""
}
```"
37,Children's Health Asthma Buddy,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, description clearly indicates asthma symptom tracking, medication reminders, and action plan sharing. App mentions account creation suggesting it's actively maintained.""
}
```"
38,Health Widget: My FitWidget,Health & Fitness,,"```json
{
  ""include"": false,
  ""reason"": ""While a Health & Fitness app, it doesn't specifically track, monitor, or forecast asthma/rhinitis/hay fever symptoms. It's a general fitness tracker.""
}
```"
39,ASTHMA,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Relevant Health & Fitness app specifically designed for asthma management, including reminders, emergency assistance, and symptom guidance. No indication of alternative medicine.""
}
```"
40,Track My Asthma,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the app explicitly focuses on tracking asthma symptoms (medication, peak flow, reminders, charts) and exporting data. No alternative medicine mentioned. App appears active.""
}
```"
41,Inhaler tracker: Inhalator,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the description clearly indicates asthma inhaler tracking and dose monitoring. No evidence of alternative medicine.""
}
```"
42,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Lifestyle, but the title and description clearly indicate asthma symptom tracking (inhaler usage, symptoms, measurements, reports). Mentions modern iPhone features (Face ID/Touch ID) suggesting it's active.""
}
```"
