index,title,genre,updated,llm_decision
1,Asthma: Tracker & Reminders,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly outlines symptom tracking, medication reminders, and health reports specifically for asthma management. App appears active due to detailed feature descriptions.""
}
```"
2,FindAir – Asthma Diary,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, and the description clearly indicates asthma symptom tracking, medication management, and environmental hazard warnings. App appears active due to feature descriptions.""
}
```"
3,"Airyn, the asthma app",Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical. Description highlights clinically-proven breathing exercises for asthma symptom management, progress tracking, and personalized support. Mentions NHS clinical study and advanced analytics.""
}
```"
4,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Lifestyle, but the title and description clearly indicate asthma symptom tracking (inhaler usage, symptoms, measurements, reports). Mentions modern iPhone features (Face ID/Touch ID) suggesting it's active.""
}
```"
5,My Pollen Forecast - Allergies,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness, description explicitly mentions pollen tracking, symptom diary, and forecasts. App appears active due to mention of modern iPhone support.""
}
```"
6,AsthmaTuner,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical. Description clearly indicates asthma symptom tracking, lung function measurement (FEV1), pollen/weather tracking, and sharing data with healthcare providers. App appears active.""
}
```"
7,AsthmaGo,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Health & Fitness category, actively tracks lung function, symptoms, medications, and generates reports. Compatible devices are FDA-cleared. App appears relevant for asthma management.""
}
```"
8,Daily Breathe: Asthma Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical, and the description clearly indicates asthma tracking with features like peak flow monitoring, zone assessment, and health integration. No alternative medicine mentioned.""
}
```"
9,AsthmaTime,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and the description explicitly states it's for asthma self-management. No update date, but description suggests active use.""
}
```"
10,IQAir AirVisual | Air Quality,Weather,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Weather, but the description explicitly mentions support for sensitive people (allergies, asthma), health recommendations, pollen counts, and educational resources related to respiratory illnesses. App appears active.""
}
```"
