index,title,genre,updated,llm_decision
1,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Title clearly indicates asthma tracking. Category is Lifestyle, but the title warrants inclusion.""
}
```"
2,My Pollen Forecast - Allergies,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and the title explicitly mentions pollen forecast and allergies, indicating relevance for rhinitis/hay fever support.""
}
```"
3,Asthma: Tracker & Reminders,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the title explicitly mentions 'Asthma' and 'Tracker & Reminders', indicating symptom tracking. Update date is missing, but the title suggests active use.""
}
```"
4,AsthmaGo,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and title suggests asthma support. Update date missing, but likely active.""
}
```"
5,Pediatric Asthma Risk Score,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the title directly references 'Asthma Risk Score', indicating relevance for asthma symptom monitoring.""
}
```"
6,Allergy Plus by Pollen.com,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and title mentions 'Allergy'. No update date, but likely active given the app's purpose. Relevant for symptom tracking.""
}
```"
7,Daily Breathe: Asthma Tracker,Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and the title explicitly mentions 'Asthma Tracker', indicating relevance for symptom tracking.""
}
```"
8,AsthmaTime,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and title suggests asthma focus. Update date missing, but likely active given the app's purpose.""
}
```"
9,ASTHMA,Health & Fitness,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Health & Fitness and title is 'ASTHMA'. No update date, but likely active as a dedicated asthma app.""
}
```"
10,PeakFlow Diary (Asthma),Medical,,"```json
{
  ""include"": true,
  ""reason"": ""Category is Medical and title explicitly mentions 'Asthma'. No update date, but the app's purpose suggests it's relevant for symptom tracking.""
}
```"
11,Asthma Tracker゜,Lifestyle,,"```json
{
  ""include"": true,
  ""reason"": ""Title clearly indicates asthma tracking. Category is Lifestyle, but the title warrants inclusion.""
}
```"
