Keyword Searched,App ID,App Name,Developer,Rating,Installs,Price,Genre,Summary,Content Rating,App URL
asthma,com.airlyn.app,"Airlyn, the asthma app",Voicemed,0,"5,000+",,Health & Fitness,,,
asthma,com.czikoapps.asthma_tracker,Asthma Tracker,Cziko Apps,0,500+,,Health & Fitness,,,
asthma,eu.findair,FindAir – Asthma Diary,FindAir - smart asthma solutions,2.7083333,"10,000+",,Medical,,,
asthma,com.srp.spf,Smart Asthma: Forecast Asthma,Smart Respiratory,3.3333333,"10,000+",,Medical,,,
asthma,com.chst.Asthma_Buddy,Asthma Buddy,Children’s Health,3.125,"1,000+",,Health & Fitness,,,
asthma,se.medituner.asthmatuner,AsthmaTuner,Medituner AB,0,"5,000+",,Medical,,,
asthma,fi.haliops.peflog,Peflog - asthma tracker,Pasi Kivikangas,4.2,"1,000+",,Medical,,,
asthma,com.app.pam,NHSWales Asthmahub for Parents,The Institute of Clinical Science and Technology,,"1,000+",,Health & Fitness,,,
asthma,com.qiot.app,QIoT Connected Asthma,QiOT LTD,,100+,,Lifestyle,,,
asthma,com.meditab.faaportal,Family Allergy & Asthma,Family Allergy and Asthma,3.7272727,"10,000+",,Medical,,,
asthma,dcs.uoj.asthma_monitor,Asthma Control Tool,DCS-UoJ,,500+,,Health & Fitness,,,
asthma,com.simcoachgames.breathebetter,Breathe Better: Beat Asthma!,Simcoach Games,0,100+,,Role Playing,,,
asthma,com.app.asthmahub_adult,NHS Wales: Asthmahub,The Institute of Clinical Science and Technology,,"10,000+",,Health & Fitness,,,
asthma,com.aesir.asthmasignal,Asthma Signals,Aesir,0,500+,,Tools,,,
asthma,com.GersonR.ACT,Asthma Control Test,Gerson Rodriguez Q,,100+,,Medical,,,
asthma,com.chf.asthma4,CHF Family Asthma App,Children's Health Fund,,5+,,Medical,,,
asthma,com.qochealth.eams,eAMS: Asthma Management System,EAPOC Inc,0,500+,,Medical,,,
asthma,uk.me.amugofjava.peakflow,Peak Flow,Ben Hills,4.535714,"50,000+",,Health & Fitness,,,
asthma,com.cmihealth.asthmago,AsthmaGo,CMI Health,3,500+,,Health & Fitness,,,
asthma,com.mlg.mtosasthma,Targeted Asthma Therapy,MedLearning2017,,5+,,Medical,,,
asthma tracker,com.czikoapps.asthma_tracker,Asthma Tracker,Cziko Apps,0,500+,,Health & Fitness,,,
asthma tracker,eu.findair,FindAir – Asthma Diary,FindAir - smart asthma solutions,2.7083333,"10,000+",,Medical,,,
asthma tracker,com.srp.spf,Smart Asthma: Forecast Asthma,Smart Respiratory,3.3333333,"10,000+",,Medical,,,
asthma tracker,com.airlyn.app,"Airlyn, the asthma app",Voicemed,0,"5,000+",,Health & Fitness,,,
asthma tracker,uk.me.amugofjava.peakflow,Peak Flow,Ben Hills,4.535714,"50,000+",,Health & Fitness,,,
asthma tracker,fi.haliops.peflog,Peflog - asthma tracker,Pasi Kivikangas,4.2,"1,000+",,Medical,,,
asthma tracker,com.chst.Asthma_Buddy,Asthma Buddy,Children’s Health,3.125,"1,000+",,Health & Fitness,,,
