Keyword Searched,App ID,App Name,Developer,Rating,Installs,Price,Genre,Summary,Content Rating,App URL
asthma,com.airlyn.app,"Airlyn, the asthma app",Voicemed,0.0,"5,000+",,Health & Fitness,,,
asthma,com.czikoapps.asthma_tracker,Asthma Tracker,Cziko Apps,0.0,500+,,Health & Fitness,,,
asthma,eu.findair,FindAir – Asthma Diary,FindAir - smart asthma solutions,2.7083333,"10,000+",,Medical,,,
asthma,com.srp.spf,Smart Asthma: Forecast Asthma,Smart Respiratory,3.3333333,"10,000+",,Medical,,,
asthma,com.chst.Asthma_Buddy,Asthma Buddy,Children’s Health,3.125,"1,000+",,Health & Fitness,,,
asthma,se.medituner.asthmatuner,AsthmaTuner,Medituner AB,0.0,"5,000+",,Medical,,,
asthma,fi.haliops.peflog,Peflog - asthma tracker,Pasi Kivikangas,4.2,"1,000+",,Medical,,,
asthma,com.app.pam,NHSWales Asthmahub for Parents,The Institute of Clinical Science and Technology,,"1,000+",,Health & Fitness,,,
asthma,com.qiot.app,QIoT Connected Asthma,QiOT LTD,,100+,,Lifestyle,,,
asthma,com.meditab.faaportal,Family Allergy & Asthma,Family Allergy and Asthma,3.7272727,"10,000+",,Medical,,,
asthma,dcs.uoj.asthma_monitor,Asthma Control Tool,DCS-UoJ,,500+,,Health & Fitness,,,
asthma,com.simcoachgames.breathebetter,Breathe Better: Beat Asthma!,Simcoach Games,0.0,100+,,Role Playing,,,
asthma,com.app.asthmahub_adult,NHS Wales: Asthmahub,The Institute of Clinical Science and Technology,,"10,000+",,Health & Fitness,,,
asthma,com.aesir.asthmasignal,Asthma Signals,Aesir,0.0,500+,,Tools,,,
asthma,com.GersonR.ACT,Asthma Control Test,Gerson Rodriguez Q,,100+,,Medical,,,
asthma,com.chf.asthma4,CHF Family Asthma App,Children's Health Fund,,5+,,Medical,,,
asthma,com.qochealth.eams,eAMS: Asthma Management System,EAPOC Inc,0.0,500+,,Medical,,,
asthma,uk.me.amugofjava.peakflow,Peak Flow,Ben Hills,4.535714,"50,000+",,Health & Fitness,,,
asthma,com.cmihealth.asthmago,AsthmaGo,CMI Health,3.0,500+,,Health & Fitness,,,
asthma,com.mlg.mtosasthma,Targeted Asthma Therapy,MedLearning2017,,5+,,Medical,,,
asthma tracker,com.imedicalapps.asthmapredictiveindexapi,Asthma Tracker Chance,iMedical Apps,0.0,500+,,Medical,,,
asthma tracker,com.bearable,"Symptom, Mood & Period Tracker",Bearable,4.6552567,"500,000+",,Health & Fitness,,,
asthma tracker,com.guavahealth.app,Guava: Health Tracker,"Guava Health, Inc.",4.6019416,"50,000+",,Health & Fitness,,,
asthma tracker,eu.smartpatient.mytherapy,Meds & Pill Reminder MyTherapy,MyTherapy,4.672616,"5,000,000+",,Medical,,,
asthma tracker,health.human.app,Human Health Tracker,Human Operations Pty Ltd,4.2,"100,000+",,Health & Fitness,,,
asthma tracker,com.calm.android,"Calm - Sleep, Meditate, Relax","Calm.com, Inc.",4.459329,"50,000,000+",,Health & Fitness,,,
asthma tracker,xyz.rtrvr.pillo,Pill Reminder & Health Tracker,Pillo Health Inc.,4.728283,"100,000+",,Medical,,,
asthma tracker,com.mysugr.android.companion,mySugr - Diabetes Tracker Log,mySugr GmbH,4.6277394,"5,000,000+",,Medical,,,
inhaler tracker,com.clearblue.alaska,Period & Cycle Tracker,Clearblue,4.49,"100,000+",,Health & Fitness,,,
inhaler tracker,com.victorsharov.mywaterapp,My Water: Daily Drink Tracker,My Water Drink Tracker Oy,4.216216,"500,000+",,Health & Fitness,,,
inhaler tracker,com.visionwizard.pulse,Heart Rate Monitor - HeartIn,Vision Wizard,4.4316998,"5,000,000+",,Health & Fitness,,,
inhaler tracker,com.elink.fittrackhealth.pro,Hume Health,Hume Health Corp,3.4531834,"500,000+",,Tools,,,
inhaler tracker,network.tracker.app,Tracker Network Stats,Tracker Network,4.4748797,"5,000,000+",,Entertainment,,,
inhaler tracker,com.lcs.mmp.lite,Manage My Pain,"ManagingLife, Inc.",4.6554623,"100,000+",,Medical,,,
inhaler tracker,de.fylet.foodlog,FoodLog - Food diary,LogFor.Life,4.29,"50,000+",,Food & Drink,,,
inhaler tracker,com.ada.app,Ada – check your health,Ada Health,4.6000957,"10,000,000+",,Medical,,,
inhaler tracker,com.cerebrex.app,CerebreX - Brain Health,CerebreX Ab,4.214286,"5,000+",,Medical,,,
inhaler tracker,com.smartpeakflow.smartrescue.SR,Smart Rescue Inhaler Assistant,Smart Respiratory,0.0,"1,000+",,Medical,,,
